n,d,n_circuit,n_gen,cost
2,2,4,10,0.6151997692463842
2,3,4,10,0.7104076129221115
2,2,4,20,0.6482425399543976
2,3,4,20,0.702620380913173
2,2,4,30,0.6389175519917101
2,3,4,30,0.6837144095960224
2,2,4,40,0.7765521088078283
2,3,4,40,0.8152529256107439
2,2,4,50,0.718941835289429
2,3,4,50,0.6737150990694747
2,2,8,10,0.7765521088078282
2,3,8,10,0.6604744785728529
2,2,8,20,0.7214386519159343
2,3,8,20,0.6922156960478789
2,2,8,30,0.6654146516418514
2,3,8,30,0.7707669877731198
2,2,8,40,0.6443315537684436
2,3,8,40,0.713404899402167
2,2,8,50,0.5926924190328767
2,3,8,50,0.8152529256107437
2,2,16,10,0.7765521088078283
2,3,16,10,0.8156162572709386
2,2,16,20,0.6862064195818164
2,3,16,20,0.7786766523950438
2,2,16,30,0.7765521088078283
2,3,16,30,0.6610215920727894
2,2,16,40,0.6866869626353159
2,3,16,40,0.7366864746838852
2,2,16,50,0.7765521088078283
2,3,16,50,0.8152529256107437
2,2,32,10,0.7214386519159344
2,3,32,10,0.7768668773756995
2,2,32,20,0.7765521088078283
2,3,32,20,0.7913156317223328
2,2,32,30,0.7306208765509874
2,3,32,30,0.7553972133291955
2,2,32,40,0.7765521088078283
2,3,32,40,0.7502838459701218
2,2,32,50,0.6654146516418514
2,3,32,50,0.8457151410012027
3,5,4,10,0.5610561790879968
3,6,4,10,0.6870700555402953
3,7,4,10,0.725024570123136
3,8,4,10,0.7155370129072798
3,9,4,10,0.7742544815925148
3,10,4,10,0.7845348916884609
3,11,4,10,0.8541591161939058
3,12,4,10,0.8589876911031542
3,13,4,10,0.8134515338802915
3,14,4,10,0.9014313945492224
3,5,4,20,0.4433468328218211
3,6,4,20,0.6830078107097058
3,7,4,20,0.7529005200329661
3,8,4,20,0.8149669063775564
3,9,4,20,0.7869859798986938
3,10,4,20,0.8133920876595881
3,11,4,20,0.7986495366657668
3,12,4,20,0.8060287955555088
3,13,4,20,0.869255334148175
3,14,4,20,0.9045967157385048
3,5,4,30,0.6193476387535839
3,6,4,30,0.7018875649056506
3,7,4,30,0.6510692819078161
3,8,4,30,0.6247144663175253
3,9,4,30,0.7676378386594307
3,10,4,30,0.7525363224093413
3,11,4,30,0.8073812090981336
3,12,4,30,0.8281521149327885
3,13,4,30,0.864456230699506
3,14,4,30,0.8067601275678908
3,5,4,40,0.5820599411140693
3,6,4,40,0.6693385104275033
3,7,4,40,0.6403588182653938
3,8,4,40,0.6802294423222224
3,9,4,40,0.7518657502781154
3,10,4,40,0.7724204228147291
3,11,4,40,0.8048696857397173
3,12,4,40,0.8506566263760307
3,13,4,40,0.8919553791055375
3,14,4,40,0.921431808169232
3,5,4,50,0.5562608800654918
3,6,4,50,0.6895641091926332
3,7,4,50,0.68457614640514
3,8,4,50,0.7745747584407375
3,9,4,50,0.6256354747487183
3,10,4,50,0.8072776675727491
3,11,4,50,0.7924435297914914
3,12,4,50,0.8491323795013956
3,13,4,50,0.875991619944851
3,14,4,50,0.8501429263151461
3,5,8,10,0.6346581608084044
3,6,8,10,0.6560829238813966
3,7,8,10,0.688289750250585
3,8,8,10,0.762138496887441
3,9,8,10,0.7338201962093615
3,10,8,10,0.8333516739731008
3,11,8,10,0.8878790201021072
3,12,8,10,0.8590239542071665
3,13,8,10,0.9030712514230764
3,14,8,10,0.9116223072497156
3,5,8,20,0.631515056470068
3,6,8,20,0.6560507682811967
3,7,8,20,0.698703846149125
3,8,8,20,0.718043065461364
3,9,8,20,0.8221738130190893
3,10,8,20,0.7836347306748394
3,11,8,20,0.8793082772347155
3,12,8,20,0.8658184903797836
3,13,8,20,0.8709113527459167
3,14,8,20,0.8814232222905309
3,5,8,30,0.6651052282576693
3,6,8,30,0.645441830070102
3,7,8,30,0.7730093587617703
3,8,8,30,0.7798218768010254
3,9,8,30,0.7172226904097628
3,10,8,30,0.8118486310474449
3,11,8,30,0.8315772051568991
3,12,8,30,0.8512150980370168
3,13,8,30,0.9191544733235488
3,14,8,30,0.9094967053365997
3,5,8,40,0.6578771338650131
3,6,8,40,0.646380731807086
3,7,8,40,0.680436999775313
3,8,8,40,0.7727680759799651
3,9,8,40,0.7609183871705419
3,10,8,40,0.8287235218617495
3,11,8,40,0.8229949887787849
3,12,8,40,0.8242540887905816
3,13,8,40,0.8993226990111192
3,14,8,40,0.8814078947975542
3,5,8,50,0.6844271758770184
3,6,8,50,0.6461257685424405
3,7,8,50,0.6704281016400281
3,8,8,50,0.7928827326787584
3,9,8,50,0.7577676819046593
3,10,8,50,0.791963022127453
3,11,8,50,0.8003266150032655
3,12,8,50,0.8986445242960004
3,13,8,50,0.9308883191837988
3,14,8,50,0.9041382228982158
3,5,16,10,0.6617295493807902
3,6,16,10,0.7806966018833775
3,7,16,10,0.7728799867036106
3,8,16,10,0.7532660148813062
3,9,16,10,0.7702182218439668
3,10,16,10,0.8873724410361813
3,11,16,10,0.8569771621958724
3,12,16,10,0.8186995920961374
3,13,16,10,0.8865335465071673
3,14,16,10,0.9027109986266456
3,5,16,20,0.6759547639098036
3,6,16,20,0.6539116559346294
3,7,16,20,0.6952251426957249
3,8,16,20,0.8097435354284934
3,9,16,20,0.8058107401760148
3,10,16,20,0.852052131987716
3,11,16,20,0.8539992623431694
3,12,16,20,0.8783440277103922
3,13,16,20,0.855701418982284
3,14,16,20,0.9047378708168315
3,5,16,30,0.6429840236433644
3,6,16,30,0.7705772879061132
3,7,16,30,0.6689078839073301
3,8,16,30,0.7199890715529988
3,9,16,30,0.8452608565913801
3,10,16,30,0.8076033609670134
3,11,16,30,0.9032141291153292
3,12,16,30,0.8852335978581909
3,13,16,30,0.8960348921290364
3,14,16,30,0.9006921365069628
3,5,16,40,0.6834469784098366
3,6,16,40,0.6507465343316953
3,7,16,40,0.7097727804324485
3,8,16,40,0.7504846835858632
3,9,16,40,0.793302044039342
3,10,16,40,0.7942026210708388
3,11,16,40,0.8046507296750189
3,12,16,40,0.8415218861790665
3,13,16,40,0.8744465216700581
3,14,16,40,0.898414857223551
3,5,16,50,0.6944085738264023
3,6,16,50,0.7391353726382869
3,7,16,50,0.7085310611286928
3,8,16,50,0.7066677215926498
3,9,16,50,0.815178156034999
3,10,16,50,0.7721882850706911
3,11,16,50,0.8826369995075897
3,12,16,50,0.8830712446817233
3,13,16,50,0.9161910204821888
3,14,16,50,0.8823051299786714
3,5,32,10,0.6473557713397421
3,6,32,10,0.6947345717023372
3,7,32,10,0.7403888974330828
3,8,32,10,0.7281435377719465
3,9,32,10,0.8171207835934483
3,10,32,10,0.8250672194149485
3,11,32,10,0.8595376372603776
3,12,32,10,0.9252971280526532
3,13,32,10,0.9023659853808536
3,14,32,10,0.9093619227239464
3,5,32,20,0.6356096309223902
3,6,32,20,0.7660640103088083
3,7,32,20,0.7230671285162896
3,8,32,20,0.8126192829953915
3,9,32,20,0.8567073251393733
3,10,32,20,0.8154390943303271
3,11,32,20,0.901783246650908
3,12,32,20,0.8798162723170556
3,13,32,20,0.8714298419931042
3,14,32,20,0.931457165738892
3,5,32,30,0.6744144085115606
3,6,32,30,0.6998054024902889
3,7,32,30,0.7513293749963359
3,8,32,30,0.7874867891271399
3,9,32,30,0.8331281847562753
3,10,32,30,0.8179192728408042
3,11,32,30,0.8720821571591264
3,12,32,30,0.90623807309808
3,13,32,30,0.918114052723442
3,14,32,30,0.9075309720175488
3,5,32,40,0.6879924966263017
3,6,32,40,0.6693709445256492
3,7,32,40,0.7413603218665313
3,8,32,40,0.8019446257344833
3,9,32,40,0.8586748696246991
3,10,32,40,0.8721026127505755
3,11,32,40,0.8718875308592123
3,12,32,40,0.8843231233045575
3,13,32,40,0.9120317950117632
3,14,32,40,0.9117278657889092
3,5,32,50,0.7007577242136206
3,6,32,50,0.7106491471915944
3,7,32,50,0.7296740361832084
3,8,32,50,0.8086749452446998
3,9,32,50,0.827274185997109
3,10,32,50,0.7950263679131638
3,11,32,50,0.8789247809920248
3,12,32,50,0.8903166537670838
3,13,32,50,0.9077643024331497
3,14,32,50,0.9260998677809422
4,5,4,10,0.4335284296583381
4,6,4,10,0.4477597041618036
4,7,4,10,0.5343608137703801
4,8,4,10,0.0
4,9,4,10,0.5771313696740769
4,10,4,10,0.5470642199607798
4,11,4,10,0.620351452038393
4,12,4,10,0.5768344730670782
4,13,4,10,0.6601286122226475
4,14,4,10,0.6895570475183802
4,15,4,10,0.7268900000000001
4,16,4,10,0.77329
4,17,4,10,0.79145
4,18,4,10,0.8074573475007248
4,19,4,10,0.8309691748186943
4,20,4,10,0.7987627948002022
4,21,4,10,0.8842107946234071
4,22,4,10,0.8523726086792355
4,23,4,10,0.9021203720889764
4,24,4,10,0.9263776147713187
4,25,4,10,0.8733495189028995
4,26,4,10,0.8937178749064743
4,27,4,10,0.930172918282451
4,28,4,10,0.9388698527106192
4,29,4,10,0.9510586681635896
4,5,4,20,0.4161803296039711
4,6,4,20,0.5102775093317435
4,7,4,20,0.5006636465221045
4,8,4,20,0.5569082408923818
4,9,4,20,0.6137951432974352
4,10,4,20,0.6418381403507329
4,11,4,20,0.6415507897740752
4,12,4,20,0.6966347858347792
4,13,4,20,0.6474652968131982
4,14,4,20,0.6972514631728759
4,15,4,20,0.6880299999999999
4,16,4,20,0.7206899999999999
4,17,4,20,0.74902
4,18,4,20,0.7626667554567046
4,19,4,20,0.7985653730448614
4,20,4,20,0.8836790616433546
4,21,4,20,0.8831706529942422
4,22,4,20,0.8565309784149214
4,23,4,20,0.8494910530971446
4,24,4,20,0.8720102786087505
4,25,4,20,0.8998091190264598
4,26,4,20,0.946687420858532
4,27,4,20,0.9059984050219982
4,28,4,20,0.934821916212922
4,29,4,20,0.9333506292257144
4,5,4,30,0.4679132776177394
4,6,4,30,0.4889158456812691
4,7,4,30,0.4831277655511489
4,8,4,30,0.5733326475837869
4,9,4,30,0.5492921605314838
4,10,4,30,0.6302998073584278
4,11,4,30,0.6073325316074051
4,12,4,30,0.638593244041375
4,13,4,30,0.6901975169971315
4,14,4,30,0.6601397023511005
4,15,4,30,0.7264200000000001
4,16,4,30,0.69579
4,17,4,30,0.7276
4,18,4,30,0.8463449011270854
4,19,4,30,0.8581610978471963
4,20,4,30,0.8420847507037023
4,21,4,30,0.8192438397718564
4,22,4,30,0.8621633302407561
4,23,4,30,0.8821408451481968
4,24,4,30,0.8745962074246275
4,25,4,30,0.906311263598323
4,26,4,30,0.9234328995498357
4,27,4,30,0.9351228865365628
4,28,4,30,0.942916673282234
4,29,4,30,0.9296381539963596
4,5,4,40,0.4513848879670862
4,6,4,40,0.44188203048521
4,7,4,40,0.519306423211899
4,8,4,40,0.5763513052375957
4,9,4,40,0.5972169477594235
4,10,4,40,0.602630774837294
4,11,4,40,0.5777642230920532
4,12,4,40,0.6921420026093259
4,13,4,40,0.7265743421828169
4,14,4,40,0.6418458702757832
4,15,4,40,0.7366900000000001
4,16,4,40,0.77063
4,17,4,40,0.7702100000000001
4,18,4,40,0.8433900000000001
4,19,4,40,0.8462072526940035
4,20,4,40,0.8512697275451796
4,21,4,40,0.8809363376426701
4,22,4,40,0.8738292959990013
4,23,4,40,0.860142875102832
4,24,4,40,0.8476216738509805
4,25,4,40,0.8880141410855543
4,26,4,40,0.9082564336897184
4,27,4,40,0.9206162842053952
4,28,4,40,0.9413525446850304
4,29,4,40,0.9141526964402722
4,5,4,50,0.4663200397235013
4,6,4,50,0.4819414187618294
4,7,4,50,0.5121801779837739
4,8,4,50,0.5546919090069715
4,9,4,50,0.5593541036713674
4,10,4,50,0.6139983425318236
4,11,4,50,0.6089628608253322
4,12,4,50,0.6040850909507178
4,13,4,50,0.6661201420776077
